AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Allegiant Air,2023-01-15,4.0,82,"Laredo, TX",0.0,32.0,0.0,7.0,0.0,17.0
Envoy Air,2023-01-15,0.0,3601,"Kalamazoo, MI",0.0,0.0,3.0,14.0,0.0,62.0
Endeavor Air Inc.,2023-01-15,-6.0,4879,"Gulfport/Biloxi, MS",0.0,,,,,
SkyWest Airlines Inc.,2023-01-16,2.0,5762,"Denver, CO",0.0,0.0,276.0,0.0,0.0,0.0
Envoy Air,2023-01-16,-5.0,3819,"New Orleans, LA",0.0,0.0,0.0,0.0,0.0,116.0
Alaska Airlines Inc.,2023-01-16,-26.0,61,"Yakutat, AK",0.0,24.0,0.0,0.0,0.0,35.0
Alaska Airlines Inc.,2023-01-16,-6.0,176,"Juneau, AK",0.0,0.0,2.0,0.0,0.0,21.0
Frontier Airlines Inc.,2023-01-16,-8.0,2424,"Fort Myers, FL",0.0,0.0,0.0,2.0,0.0,108.0
PSA Airlines Inc.,2023-01-16,-5.0,5577,"Greenville, NC",0.0,63.0,0.0,0.0,0.0,0.0
JetBlue Airways,2023-01-16,89.0,1285,"Rochester, NY",0.0,0.0,0.0,0.0,0.0,89.0
Spirit Air Lines,2023-01-16,-7.0,744,"San Diego, CA",0.0,0.0,0.0,4.0,0.0,11.0
PSA Airlines Inc.,2023-01-16,13.0,5406,"Minneapolis, MN",0.0,1.0,0.0,38.0,0.0,4.0
Allegiant Air,2023-01-16,-10.0,1172,"Savannah, GA",0.0,63.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-01-16,-37.0,5052,"Allentown/Bethlehem/Easton, PA",0.0,13.0,0.0,2.0,0.0,0.0
Envoy Air,2023-01-16,-28.0,3694,"Flint, MI",0.0,5.0,0.0,27.0,0.0,3.0
Delta Air Lines Inc.,2023-01-17,-6.0,2155,"Spokane, WA",0.0,0.0,0.0,0.0,0.0,214.0
United Air Lines Inc.,2023-01-17,-26.0,1299,"Santa Barbara, CA",0.0,0.0,0.0,0.0,0.0,17.0
American Airlines Inc.,2023-01-17,-3.0,401,"Cedar Rapids/Iowa City, IA",0.0,0.0,0.0,0.0,0.0,21.0
Endeavor Air Inc.,2023-01-17,-12.0,4954,"Norfolk, VA",0.0,158.0,0.0,0.0,0.0,0.0
Envoy Air,2023-01-17,106.0,3581,"Peoria, IL",0.0,106.0,0.0,0.0,0.0,0.0
Envoy Air,2023-01-17,-17.0,3368,"Appleton, WI",0.0,0.0,0.0,2.0,0.0,59.0
Endeavor Air Inc.,2023-01-17,-23.0,4815,"Fayetteville, AR",0.0,0.0,0.0,37.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-18,-2.0,5040,"Sioux City, IA",0.0,0.0,0.0,107.0,0.0,0.0
Spirit Air Lines,2023-01-18,-3.0,1101,"Charlotte, NC",0.0,0.0,0.0,137.0,0.0,0.0
Allegiant Air,2023-01-18,-21.0,2953,"Moline, IL",0.0,8.0,0.0,0.0,0.0,10.0
SkyWest Airlines Inc.,2023-01-18,-6.0,5515,"Greer, SC",1.0,91.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-01-18,-1.0,5278,"Indianapolis, IN",0.0,0.0,0.0,59.0,0.0,150.0
SkyWest Airlines Inc.,2023-01-18,-4.0,3114,"Grand Junction, CO",0.0,0.0,0.0,0.0,0.0,125.0
Frontier Airlines Inc.,2023-01-18,-15.0,2196,"Oakland, CA",0.0,0.0,0.0,0.0,0.0,75.0
Envoy Air,2023-01-18,-26.0,3351,"Rochester, NY",0.0,24.0,0.0,0.0,0.0,41.0
Endeavor Air Inc.,2023-01-18,-20.0,4743,"White Plains, NY",0.0,0.0,0.0,0.0,0.0,112.0
SkyWest Airlines Inc.,2023-01-18,-23.0,4167,"Gainesville, FL",0.0,,,,,
Spirit Air Lines,2023-01-19,19.0,169,"Minneapolis, MN",0.0,0.0,0.0,19.0,0.0,0.0
Republic Airline,2023-01-19,22.0,3473,"State College, PA",0.0,5.0,0.0,0.0,0.0,17.0
Allegiant Air,2023-01-19,-25.0,1215,"Akron, OH",0.0,12.0,0.0,0.0,0.0,50.0
Spirit Air Lines,2023-01-19,-5.0,250,"Hartford, CT",0.0,0.0,0.0,0.0,0.0,180.0
United Air Lines Inc.,2023-01-19,-5.0,716,"Burbank, CA",0.0,8.0,0.0,12.0,0.0,0.0
JetBlue Airways,2023-01-19,-35.0,610,"Dallas/Fort Worth, TX",0.0,0.0,0.0,32.0,0.0,0.0
JetBlue Airways,2023-01-19,-17.0,836,"Minneapolis, MN",0.0,27.0,0.0,0.0,0.0,22.0
PSA Airlines Inc.,2023-01-19,-15.0,5602,"Ashland, WV",0.0,,,,,
Envoy Air,2023-01-20,-21.0,3577,"Champaign/Urbana, IL",0.0,15.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,2023-01-20,-3.0,5137,"Charlotte, NC",0.0,697.0,0.0,27.0,0.0,72.0
Frontier Airlines Inc.,2023-01-20,75.0,2169,"Las Vegas, NV",0.0,7.0,0.0,0.0,0.0,68.0
United Air Lines Inc.,2023-01-20,-6.0,466,"Lihue, HI",0.0,1409.0,0.0,0.0,0.0,0.0
Republic Airline,2023-01-20,-7.0,5805,"Norfolk, VA",0.0,130.0,0.0,28.0,0.0,0.0
United Air Lines Inc.,2023-01-20,14.0,2644,"Reno, NV",0.0,14.0,0.0,5.0,0.0,0.0
United Air Lines Inc.,2023-01-20,-40.0,694,"Kansas City, MO",0.0,0.0,0.0,79.0,0.0,0.0
Alaska Airlines Inc.,2023-01-20,-14.0,1005,"Spokane, WA",0.0,0.0,0.0,26.0,0.0,0.0
American Airlines Inc.,2023-01-20,11.0,569,"Grand Rapids, MI",0.0,86.0,0.0,0.0,0.0,134.0
Endeavor Air Inc.,2023-01-20,-10.0,5166,"Lexington, KY",0.0,0.0,0.0,39.0,0.0,16.0
Frontier Airlines Inc.,2023-01-20,-17.0,1982,"Burbank, CA",0.0,,,,,
SkyWest Airlines Inc.,2023-01-20,22.0,3967,"Elmira/Corning, NY",0.0,0.0,22.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-20,-33.0,4066,"Syracuse, NY",0.0,0.0,0.0,0.0,0.0,28.0
Delta Air Lines Inc.,2023-01-21,-9.0,1015,"Orlando, FL",0.0,0.0,0.0,33.0,0.0,0.0
Southwest Airlines Co.,2023-01-21,-11.0,3113,"Reno, NV",0.0,1.0,0.0,62.0,0.0,22.0
Delta Air Lines Inc.,2023-01-21,5.0,2185,"Pittsburgh, PA",0.0,0.0,0.0,26.0,0.0,0.0
Alaska Airlines Inc.,2023-01-21,-27.0,796,"Salt Lake City, UT",0.0,0.0,0.0,18.0,0.0,0.0
Allegiant Air,2023-01-21,25.0,2329,"Grand Forks, ND",0.0,0.0,1.0,0.0,0.0,24.0
United Air Lines Inc.,2023-01-21,-6.0,769,"Hartford, CT",0.0,0.0,0.0,0.0,0.0,22.0
PSA Airlines Inc.,2023-01-21,5.0,5643,"Columbus, OH",0.0,0.0,0.0,16.0,0.0,0.0
Republic Airline,2023-01-21,-11.0,4410,"Tampa, FL",0.0,0.0,0.0,585.0,0.0,0.0
Envoy Air,2023-01-21,20.0,3423,"Norfolk, VA",0.0,0.0,0.0,20.0,0.0,0.0
Delta Air Lines Inc.,2023-01-22,-6.0,1719,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,22.0
SkyWest Airlines Inc.,2023-01-22,-15.0,3720,"Seattle, WA",0.0,0.0,0.0,0.0,0.0,29.0
Allegiant Air,2023-01-22,80.0,2537,"Richmond, VA",0.0,0.0,0.0,0.0,0.0,80.0
Allegiant Air,2023-01-22,-18.0,946,"St. Cloud, MN",0.0,0.0,0.0,186.0,0.0,0.0
Allegiant Air,2023-01-23,-11.0,8,"Stockton, CA",0.0,111.0,0.0,9.0,0.0,126.0
SkyWest Airlines Inc.,2023-01-23,11.0,4786,"Wichita, KS",0.0,127.0,0.0,0.0,0.0,0.0
Republic Airline,2023-01-23,-21.0,4732,"Providence, RI",0.0,0.0,0.0,18.0,0.0,0.0
Alaska Airlines Inc.,2023-01-23,-26.0,388,"St. Louis, MO",0.0,3.0,0.0,4.0,0.0,10.0
Delta Air Lines Inc.,2023-01-23,-10.0,726,"Kahului, HI",0.0,0.0,0.0,32.0,0.0,281.0
JetBlue Airways,2023-01-23,20.0,36,"Phoenix, AZ",0.0,20.0,0.0,0.0,0.0,0.0
Envoy Air,2023-01-23,7.0,3555,"Milwaukee, WI",0.0,0.0,0.0,27.0,0.0,92.0
SkyWest Airlines Inc.,2023-01-24,-7.0,4792,"Jacksonville, FL",0.0,65.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-01-24,-29.0,478,"Greer, SC",0.0,0.0,0.0,0.0,0.0,68.0
American Airlines Inc.,2023-01-24,-9.0,1553,"Tulsa, OK",0.0,0.0,0.0,0.0,0.0,676.0
Frontier Airlines Inc.,2023-01-24,10.0,2647,"Providence, RI",0.0,8.0,0.0,34.0,0.0,2.0
Spirit Air Lines,2023-01-25,-18.0,2513,"Boise, ID",0.0,9.0,0.0,345.0,0.0,0.0
PSA Airlines Inc.,2023-01-25,168.0,5134,"Columbia, SC",0.0,0.0,0.0,50.0,0.0,118.0
Alaska Airlines Inc.,2023-01-25,-20.0,834,"Honolulu, HI",0.0,12.0,0.0,0.0,0.0,177.0
Envoy Air,2023-01-25,14.0,3432,"Cedar Rapids/Iowa City, IA",0.0,0.0,0.0,15.0,0.0,0.0
American Airlines Inc.,2023-01-25,-18.0,575,"Ontario, CA",0.0,51.0,0.0,0.0,0.0,0.0
Republic Airline,2023-01-25,-7.0,3621,"Grand Rapids, MI",0.0,0.0,0.0,16.0,0.0,0.0
American Airlines Inc.,2023-01-25,8.0,2862,"Wichita, KS",0.0,260.0,0.0,4.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-25,68.0,4809,"Lubbock, TX",0.0,0.0,0.0,0.0,0.0,68.0
Delta Air Lines Inc.,2023-01-25,14.0,2194,"Cedar Rapids/Iowa City, IA",0.0,10.0,0.0,18.0,0.0,0.0
Frontier Airlines Inc.,2023-01-25,-30.0,2059,"Omaha, NE",0.0,11.0,0.0,0.0,0.0,172.0
Endeavor Air Inc.,2023-01-25,59.0,4891,"Louisville, KY",0.0,0.0,0.0,0.0,0.0,59.0
Delta Air Lines Inc.,2023-01-26,127.0,2316,"Detroit, MI",0.0,112.0,0.0,15.0,0.0,0.0
United Air Lines Inc.,2023-01-26,-17.0,751,"Atlanta, GA",0.0,6.0,0.0,0.0,0.0,12.0
Southwest Airlines Co.,2023-01-26,6.0,616,"Charlotte, NC",0.0,7.0,0.0,32.0,0.0,38.0
SkyWest Airlines Inc.,2023-01-26,59.0,5104,"Devils Lake, ND",1.0,0.0,0.0,59.0,0.0,0.0
Republic Airline,2023-01-26,-11.0,3410,"Harrisburg, PA",0.0,8.0,0.0,11.0,0.0,0.0
Allegiant Air,2023-01-26,-16.0,238,"Key West, FL",0.0,0.0,0.0,25.0,0.0,1.0
SkyWest Airlines Inc.,2023-01-26,25.0,3063,"La Crosse, WI",0.0,0.0,0.0,0.0,0.0,25.0
United Air Lines Inc.,2023-01-27,-14.0,1131,"Denver, CO",0.0,10.0,0.0,0.0,0.0,32.0
Delta Air Lines Inc.,2023-01-27,-8.0,522,"Honolulu, HI",0.0,49.0,0.0,11.0,0.0,0.0
Delta Air Lines Inc.,2023-01-27,-20.0,1132,"West Palm Beach/Palm Beach, FL",0.0,0.0,0.0,54.0,0.0,0.0
Southwest Airlines Co.,2023-01-27,-5.0,1253,"Kona, HI",0.0,0.0,0.0,0.0,0.0,17.0
Envoy Air,2023-01-27,6.0,3412,"Atlanta, GA",0.0,33.0,0.0,8.0,0.0,52.0
SkyWest Airlines Inc.,2023-01-27,-24.0,4082,"Spokane, WA",0.0,0.0,17.0,0.0,0.0,0.0
Alaska Airlines Inc.,2023-01-28,11.0,334,"Atlanta, GA",0.0,79.0,0.0,27.0,0.0,0.0
Southwest Airlines Co.,2023-01-28,1.0,2893,"Palm Springs, CA",0.0,0.0,0.0,1.0,0.0,58.0
American Airlines Inc.,2023-01-28,-3.0,2663,"Key West, FL",0.0,0.0,0.0,0.0,0.0,17.0
PSA Airlines Inc.,2023-01-28,-18.0,5359,"Jackson/Vicksburg, MS",0.0,1.0,0.0,0.0,0.0,35.0
Envoy Air,2023-01-28,25.0,4087,"Des Moines, IA",0.0,1.0,0.0,24.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-28,-10.0,4232,"Hibbing, MN",0.0,109.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-28,-14.0,3831,"Albany, NY",0.0,0.0,32.0,0.0,0.0,0.0
Delta Air Lines Inc.,2023-01-29,-17.0,2576,"Tampa, FL",0.0,12.0,0.0,0.0,0.0,44.0
American Airlines Inc.,2023-01-29,-12.0,706,"Fort Myers, FL",0.0,0.0,0.0,8.0,0.0,42.0
Alaska Airlines Inc.,2023-01-29,-20.0,721,"Reno, NV",0.0,4.0,0.0,1.0,0.0,28.0
SkyWest Airlines Inc.,2023-01-29,30.0,5427,"Billings, MT",0.0,0.0,0.0,0.0,0.0,30.0
Allegiant Air,2023-01-29,96.0,1988,"New Orleans, LA",0.0,65.0,0.0,31.0,0.0,0.0
Spirit Air Lines,2023-01-30,280.0,867,"Dallas/Fort Worth, TX",0.0,0.0,8.0,57.0,0.0,215.0
Hawaiian Airlines Inc.,2023-01-30,2.0,68,"Lihue, HI",0.0,48.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,2023-01-30,-26.0,2592,"El Paso, TX",0.0,5.0,0.0,0.0,0.0,18.0
Southwest Airlines Co.,2023-01-30,-10.0,2549,"Savannah, GA",0.0,0.0,0.0,10.0,0.0,13.0
Delta Air Lines Inc.,2023-01-30,-16.0,2096,"Milwaukee, WI",0.0,0.0,0.0,26.0,0.0,0.0
JetBlue Airways,2023-01-30,46.0,87,"Albany, NY",0.0,3.0,0.0,43.0,0.0,0.0
Envoy Air,2023-01-30,49.0,4006,"Dayton, OH",0.0,0.0,0.0,17.0,0.0,32.0
American Airlines Inc.,2023-01-31,-21.0,2981,"Jacksonville, FL",0.0,14.0,0.0,4.0,0.0,368.0
